Priority,EMu Column,EMu Module,Ref Module,Label,DAMS field,data-type,Field Visibility,Editability,Functionality,Value/logic,Field Type,Mandatory,Search Facet,Track History,Vocabulary
1,irn,emultimedia,,IRN,,integer [atomic],All Groups,Read Only,,generated in EMu,Number,Mandatory,,,
1,AudIdentifier,emultimedia,,Identifier,,text [atomic],All Groups,Read Only,key from EMu [GUID/UUID4],generated in EMu,Text-single,Mandatory,,on,
1,MulTitle,emultimedia,,Title,,text [atomic],All Groups,Add/Edit,,,Text-single,Mandatory,,on,
1,MulDescription,emultimedia,,Description,,text [atomic],All Groups,Add/Edit,,,Text Area,Mandatory,,on,
1,MulMultimediaCreatorRef_tab.eparties[SummaryData],emultimedia,eparties,Creator,,"numeric, text [table]",All Groups,Add/Edit,,,Text-single,,,,
1,MulMultimediaCreatorRef_tab.eparties[irn],emultimedia,eparties,Creator,,"numeric, text [table]",All Groups,Add/Edit,not displayed / use for DSS?,,Number,,,,
1,MulMultimediaCreatorRole_tab,emultimedia,,Creator Role,,text [table],All Groups,Add/Edit,,,Pulldown,,,,Import values from CSV
1,DetSubject_tab,emultimedia,,Keyword,,"text [atomic, lookup]",All Groups,Add/Edit/Delete,,,Tag-vocab,,Is a Search facet (filter),on,Users can edit
1,DetMediaRightsRef.erights[irn],emultimedia,erights,Rights IRN,,numeric [table],All Groups,Read Only,not displayed / use for DSS?,,Number,,,,
1,DetMediaRightsRef.erights[RigOwner.SummaryData],emultimedia,erights,Rights Owner,,text [table],All Groups,Read Only,,,Pulldown,,,,
1,DetRights,emultimedia,,Copyright and License Summary,,text [atomic],All Groups,Read Only,,,Pulldown,Mandatory,Is a Search facet (filter),on,Import values from CSV
1,AudCitation,emultimedia,,Citation,,text [atomic],All Groups,Read Only,,,Text-single,,,on,
1,SecDepartment_tab,emultimedia,,Department,,text [atomic],All Groups,Add/Edit/Delete,Folder Organization/Security,,Tag-vocab,Mandatory,Is a Search facet (filter),,Import values from CSV
1,SecRecordStatus,emultimedia,,Record Status,,text [atomic],All Groups,Add/Edit/Delete,Folder Organization/Security,,Pulldown,Mandatory,Is a Search facet (filter),,Import values from CSV
1,AdmPublishWebNoPassword,emultimedia,,Publish on Internet,,Boolean [atomic],All Groups,Add/Edit/Delete,Folder Organization/Security,,Pulldown,Mandatory,Is a Search facet (filter),,Locked list in DAMS
1,AdmPublishWebPassword,emultimedia,,Publish on Intranet,,Boolean [atomic],All Groups,Add/Edit/Delete,Folder Organization/Security,,Pulldown,Mandatory,Is a Search facet (filter),,Locked list in DAMS
1,AudTaxonCoverage,emultimedia,,Taxon Coverage,,text [atomic],All Groups,Read Only,,,,,,,
1,AudRelatedGeography,emultimedia,,Related Geography,,text [atomic],All Groups,Read Only,,,,,,,
1,AdmAssetSourceDAMS,emultimedia,,Data Source,,Boolean [atomic],Limited,Read Only,,,,,,,
1,EveEventNumber,[reverse-attached Multimedia],eevents,Event Number,,text [atomic],,,[concatenate for Folder Organization?],,,,,,
1,EveShortName,[reverse-attached Multimedia],eevents,Shortname,,text [atomic],,,[concatenate for Folder Organization?],,,,,,
1,EveTypeOfEvent,[reverse-attached Multimedia],eevents,Event Type,,text [atomic],,,[concatenate for Folder Organization?],,,,,,
