emu,json_field,repeatable,emu_group,json_container
irn,dwc:recordNumber,,,
DarGlobalUniqueIdentifier,dwc:occurrenceID,,,
CatAccessionYearLocal,ltc:temporalCoverageStartDate,,,dates
DarCatalogNumberNumeric,dwc:catalogNumber,,,
AccAccessionNo,ltc:identifier,yes,PriAccessionNumberRef,identifiers
DarCatalogNumber,ltc:identifier,yes,,identifiers
CatOtherNumbersValue,ltc:identifier,yes,OtherNums,identifiers
CatOtherNumbersType,ltc:identifierType,yes,OtherNums,identifiers
DesKDescription,h2i:culturalArtefactDescription,yes,Description,descriptions
DesKType,fmnh:culturalArtefactDescriptionType,yes,Description,descriptions
DesUseClassification,h2i:culturalArtefactFunction,yes,DesUseClassification_tab,
EcbPartsUsed,h2i:culturalArtefactParts,yes,EcbPartsUsed_tab,
DesEthnicGroupSubgroup,ltc:culturalAffiliation,yes,DesEthnicGroupSubgroup_tab,
AttPeriod,ltc:period,yes,AttPeriod_tab,
DesMaterials,ltc:materials,yes,DesMaterials_tab,
esites_irn,dwc:locationID,,ColCollectionEventRef,
PolContinent,dwc:continent,,ColCollectionEventRef,
PolPD1,dwc:country,,ColCollectionEventRef,
PolPD2,dwc:stateProvince,,ColCollectionEventRef,
PolPD3,dwc:county,,ColCollectionEventRef,
PolPopn,ltc:municipality,,ColCollectionEventRef,
DarLocality,dwc:locality,,,
CatItemsCat,ltc:measurementValue,yes,,measurements
CatItemsInv,ltc:measurementValue,yes,,measurements
DesObjectName,h2i:culturalArtefactSimpleName,yes,DesObj,simplenames
DesObjectType,fmnh:culturalArtefactSimpleNameType,yes,DesObj,simplenames
DarCollector,dwc:recordedBy,,,
ecatrel_SummaryData,dwc:relationshipRemarks,yes,RelObjectsRef_tab,resourcerelationship
ecatrel_DarGlobalUniqueIdentifier,dwc:relatedResourceID,yes,RelObjectsRef_tab,resourcerelationship
ebiblio_irn,fmnh:referenceID,yes,RefReferenceRef_tab,references
ebiblio_SummaryData,fmnh:reference,yes,RefReferenceRef_tab,references
MeaAnthroMeasurementTaken_tab,ltc:measurementType,yes,,measurements
MeaMeasurementKind_tab,h2i:measurementKind,yes,,measurements
MeaMeasurementValue_tab,fmnh:measurementValue,yes,,measurements
MeaUnit_tab,ltc:measurementUnit,yes,,measurements
MeaMeasuredByRef_tab,dwc:measurementDeterminedBy,yes,,measurements
MeaDateMeasured0,ltc:measurementDeterminedDate,yes,,measurements
MeaFisRemarks_tab,ltc:measurementRemarks,yes,,measurements
