emu,json_field,repeatable,emu_group,json_container
AccCatalogue,ltc:organisationalUnitName,,,
AccDateAccessioned,ltc:temporalCoverageStartDate,yes,,collectionHistory
AccAccessionNo,ltc:identifier,yes,,identifiers
AccCatalogueNo,ltc:identifier,yes,,identifiers
AccAccessionDescription,dc:description,,,
DesEthnicGroupSubgroup,ltc:culturalAffiliation,,,
AttPeriod,ltc:period,,AttPeriod_tab,
esites_irn,dwc:locationID,yes,AccCollectionEventRef,geographicCoverage
PolContinent,dwc:continent,yes,AccCollectionEventRef,geographicCoverage
PolPD1,dwc:country,yes,AccCollectionEventRef,geographicCoverage
PolPD2,dwc:stateProvince,yes,AccCollectionEventRef,geographicCoverage
PolPD3,dwc:county,yes,AccCollectionEventRef,geographicCoverage
PolPopn,ltc:municipality,yes,AccCollectionEventRef,geographicCoverage
AccLocality,dwc:locality,yes,,geographicCoverage
ColDateVisitedFrom,ltc:temporalCoverageStartDate,yes,AccCollectionEventRef,objectGroup
ColDateVisitedTo,ltc:temporalCoverageEndDate,yes,AccCollectionEventRef,objectGroup
ColCollectionMethods_tab,dwc:samplingProtocol,yes,AccCollectionEventRef,objectGroup
AccCount,ltc:measurementValue,yes,,measurements
NamFullName,abltc:fullName,yes,AccCollectorRef_tab,person
NamExternalReferences_tab,dc:identifier,yes,AccCollectorRef_tab,person
ebiblio_irn,fmnh:referenceID,yes,RefReferenceRef_tab,references
ebiblio_SummaryData,fmnh:reference,yes,RefReferenceRef_tab,references
